Gene Symbol	Probeset	Fold change
Slc1a6	1418933_at	2.03
Cck	1419473_a_at	3.53
Gng13	1419414_at	3.88
Ppp1r17	1449240_at	4.12
Calb1	1417504_at	5.63
Calb1	1448738_at	7.42
Itpka	1424037_at	7.76
Cacna1g	1423365_at	12.51
Doc2b	1420667_at	14.08
Icmt	1426500_at	14.11
Rgs8	1453060_at	15.17
Nrk	1450079_at	15.83
Casq2	1422529_s_at	16.36
Trpc3	1417577_at	21.03
Kcnip1	1448459_at	21.41
Homer3	1424859_at	27.8
Atp2a3	1421129_a_at	28.17
Kcnip1	1416785_at	28.5
Atp2a3	1450124_a_at	31.57
Sycp1	1427291_at	33.16
Doc2b	1420666_at	36.04
Ptprr	1426047_a_at	36.41
Fam174b	1434273_at	43.73
Slc5a1	1419057_at	46.8
