Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
CBLN1	70.2	6.133	5.618E-16	
PCP2	62.972	5.977	9.069E-34	
IL20RB	35.995	5.17	3.444E-23	
ZIC1	35.199	5.137	1.596E-16	Zinc finger protein of the cerebellum 1
EN2	31.026	4.955	1.844E-21	Engrailed 2
CALB2	30.128	4.913	4.403E-24	Calbindin 2
ATP2A3	24.633	4.623	1.293E-17	ATPase, Ca++ transporting, ubiquitous
PTPN22	23.316	4.543	1.569E-24	Protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
GDF10	21.995	4.459	4.798E-27	Growth differentiation factor 10
AI118078	19.426	4.28	7.069E-25	Expressed sequence AI118078
COL18A1	18.111	4.179	1.770E-18	Collagen, type XVIII, alpha 1
GABRA6	17.665	4.143	2.762E-21	Gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 6
WNT7A	17.491	4.129	6.507E-22	Transcribed locus
TMEM51	16.321	4.029	2.459E-18	Transmembrane protein 51
LOC100046690	15.922	3.993	1.398E-15	
MRGPRF	15.659	3.969	1.337E-33	MAS-related GPR, member F
SHF	15.054	3.912	2.400E-29	Src homology 2 domain containing F
ANK1	14.628	3.871	5.649E-18	
MMP24	14.437	3.852	4.550E-19	Matrix metallopeptidase 24
MAPK12	14.379	3.846	1.081E-24	
MEIS1	14.145	3.822	1.038E-19	Myeloid ecotropic viral integration site 1
LHFP	14.006	3.808	1.333E-16	Transcribed locus
RELN	13.657	3.772	6.112E-23	Transcribed locus
KCNG4	13.409	3.745	1.394E-19	Potassium voltage-gated channel, subfamily G, member 4
OLFM3	12.684	3.665	9.583E-16	Transcribed locus
PLD5	12.53	3.647	2.515E-25	
GRB7	12.371	3.629	1.694E-23	Growth factor receptor bound protein 7
6430571L13RIK	12.276	3.618	3.575E-27	Transcribed locus
REC8	11.812	3.562	5.639E-26	REC8 homolog (yeast)
CAR4	11.728	3.552	4.797E-21	Carbonic anhydrase 4
DAO1	11.444	3.517	6.331E-18	
ZFP521	11.422	3.514	2.452E-24	Zinc finger protein 521
PVALB	11.22	3.488	7.620E-16	
CNTN6	11.146	3.478	2.533E-16	Contactin 6
3632451O06RIK	10.95	3.453	2.722E-16	RIKEN cDNA 3632451O06 gene
SLC22A4	10.92	3.449	3.051E-20	
RGS8	10.722	3.423	3.148E-13	Regulator of G-protein signaling 8
NEUROD1	10.415	3.381	3.828E-21	Transcribed locus
PARD6G	9.866	3.302	2.377E-18	Par-6 partitioning defective 6 homolog gamma (C. elegans)
ALS2	9.721	3.281	3.634E-20	Amyotrophic lateral sclerosis 2 (juvenile) homolog (human)
ITGA3	9.643	3.269	4.532E-16	Integrin alpha 3
ALDH1A1	9.59	3.261	1.754E-19	Aldehyde dehydrogenase family 1, subfamily A1
KCNK3	9.556	3.256	4.019E-23	Transcribed locus
TRIM62	9.267	3.212	2.579E-21	Tripartite motif-containing 62
MYT1	9.195	3.201	1.277E-17	Transcribed locus
ST8SIA5	8.767	3.132	1.141E-12	Predicted gene, EG639653
B930011P16RIK	8.735	3.127	1.699E-14	
FZD7	8.416	3.073	2.245E-19	Frizzled homolog 7 (Drosophila)
LHX1	8.163	3.029	2.401E-24	LIM homeobox protein 1
SBK	8.149	3.027	1.160E-18	
CNTNAP4	8.062	3.011	6.031E-18	Contactin associated protein-like 4
KCNT1	8.037	3.007	5.013E-16	Transcribed locus
GPRC5C	8.009	3.002	7.803E-22	
CCDC120	7.956	2.992	3.194E-17	Coiled-coil domain containing 120
D0H4S114	7.761	2.956	2.221E-25	DNA segment, human D4S114
TIMP4	7.616	2.929	2.642E-16	Tissue inhibitor of metalloproteinase 4
GABRD	7.448	2.897	1.602E-12	Gamma-aminobutyric acid (GABA-A) receptor, subunit delta
CHN2	7.421	2.892	2.838E-20	Chimerin (chimaerin) 2
DNER	7.255	2.859	2.082E-18	Delta/notch-like EGF-related receptor
IGF2BP3	7.249	2.858	7.532E-06	Insulin-like growth factor 2 mRNA binding protein 3
RNF182	7.085	2.825	8.819E-12	Ring finger protein 182
TRPC3	7.083	2.824	1.972E-14	Transient receptor potential cation channel, subfamily C, member 3
CRHR1	7.026	2.813	1.197E-11	Corticotropin releasing hormone receptor 1
Acpl2	6.874	2.781	1.257E-17	
MCC	6.832	2.772	3.051E-20	Mutated in colorectal cancers
LRIG1	6.823	2.77	4.219E-12	Leucine-rich repeats and immunoglobulin-like domains 1
PCCA	6.76	2.757	2.909E-13	Propionyl-Coenzyme A carboxylase, alpha polypeptide
STAP2	6.723	2.749	2.249E-21	Transcribed locus
SYT12	6.657	2.735	7.035E-25	Synaptotagmin XII
FNDC5	6.638	2.731	8.357E-13	Fibronectin type III domain containing 5
Darc	6.62	2.727	1.628E-16	
KCND2	6.445	2.688	3.944E-14	Potassium voltage-gated channel, Shal-related family, member 2
ADCY1	6.44	2.687	3.539E-07	Adenylate cyclase 1
GAS7	6.393	2.677	3.006E-17	
SGPP2	6.321	2.66	2.440E-19	Sphingosine-1-phosphate phosphotase 2
RORA	6.312	2.658	3.555E-17	RAR-related orphan receptor alpha
EXTL2	6.308	2.657	3.450E-17	Transcribed locus
USP3	6.269	2.648	1.485E-15	
SAMD14	6.225	2.638	1.059E-17	Sterile alpha motif domain containing 14
1110012J17RIK	6.188	2.63	3.757E-16	
SEPM	5.997	2.584	1.581E-24	
KCNC1	5.911	2.563	1.046E-11	Potassium voltage gated channel, Shaw-related subfamily, member 1
EPB4.1	5.806	2.538	7.367E-19	Erythrocyte protein band 4.1
HR	5.802	2.537	4.229E-16	Hairless
SNRK	5.799	2.536	6.262E-18	SNF related kinase
ZFPM2	5.778	2.531	7.487E-13	Transcribed locus
CHRNB2	5.76	2.526	6.788E-25	Cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)
DPP6	5.737	2.52	3.502E-15	
4930544G21RIK	5.711	2.514	2.127E-17	
LTBP3	5.609	2.488	1.105E-13	
TMEM178	5.582	2.481	5.236E-11	Transmembrane protein 178
GPR22	5.563	2.476	1.412E-13	G protein-coupled receptor 22
ICMT	5.509	2.462	1.454E-15	Isoprenylcysteine carboxyl methyltransferase
ITPR1	5.5	2.459	8.165E-16	Inositol 1,4,5-triphosphate receptor 1
MPP3	5.458	2.448	5.080E-12	Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)
CADPS2	5.399	2.433	4.444E-18	Ca2+-dependent activator protein for secretion 2
EPHB2	5.396	2.432	4.181E-17	Eph receptor B2
NPAL2	5.378	2.427	4.462E-15	
SLC29A4	5.375	2.426	1.841E-09	Solute carrier family 29 (nucleoside transporters), member 4
KCNK1	5.347	2.419	4.553E-16	Potassium channel, subfamily K, member 1
STMN2	5.313	2.409	6.721E-18	Transcribed locus
SPAG1	5.278	2.4	9.826E-12	Transcribed locus
MMP23	5.243	2.391	1.540E-15	Matrix metallopeptidase 23
ZFP219	5.101	2.351	7.595E-10	Zinc finger protein 219
INADL	5.085	2.346	3.600E-23	Transcribed locus
PARD6A	5.075	2.343	2.150E-15	Par-6 (partitioning defective 6,) homolog alpha (C. elegans)
IGSF21	5.072	2.343	2.200E-12	Immunoglobin superfamily, member 21
APPL2	5.071	2.342	5.610E-19	
BTBD11	5.067	2.341	1.465E-11	BTB (POZ) domain containing 11
KIRREL3	4.977	2.315	2.246E-11	
ST18	4.972	2.314	5.139E-11	Suppression of tumorigenicity 18
PPM1D	4.969	2.313	1.351E-13	Transcribed locus
9330167E06	4.964	2.312	4.212E-14	
TMEM56	4.951	2.308	8.371E-10	Transmembrane protein 56
RIC3	4.889	2.29	5.172E-13	Resistance to inhibitors of cholinesterase 3 homolog (C. elegans)
KCNA2	4.854	2.279	2.068E-12	Transcribed locus, weakly similar to XP_001101275.1 similar to potassium voltage-gated channel, sha
ITGA7	4.852	2.278	1.109E-14	Integrin alpha 7
UNC5B	4.843	2.276	2.949E-09	Unc-5 homolog B (C. elegans)
ITFG2	4.789	2.26	8.934E-13	Transcribed locus
DPP10	4.762	2.252	1.854E-11	Dipeptidylpeptidase 10
AV028368	4.759	2.251	1.538E-17	
C430004E15RIK	4.752	2.248	1.059E-12	
6430573F11RIK	4.743	2.246	2.022E-21	RIKEN cDNA 6430573F11 gene
GRM1	4.722	2.239	9.518E-10	Glutamate receptor, metabotropic 1
HRSP12	4.678	2.226	9.379E-10	Transcribed locus
HSD11B1	4.676	2.225	1.800E-10	
RIT2	4.661	2.221	2.658E-11	Transcribed locus
SPNB1	4.66	2.22	2.397E-15	
CDH7	4.653	2.218	7.774E-21	
CRTAM	4.624	2.209	6.290E-15	Cytotoxic and regulatory T cell molecule
HS3ST1	4.614	2.206	3.489E-15	Heparan sulfate (glucosamine) 3-O-sulfotransferase 1
CACNG5	4.6	2.202	2.480E-11	Transcribed locus
PIK3R3	4.598	2.201	5.430E-12	Phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)
SYT9	4.591	2.199	6.991E-24	Synaptotagmin IX
LDOC1	4.591	2.199	3.866E-18	Leucine zipper, down-regulated in cancer 1
DSCR1L2	4.577	2.194	7.631E-10	
2010001J22RIK	4.574	2.193	2.011E-21	
4930504E06RIK	4.546	2.185	1.227E-16	
COL7A1	4.542	2.183	3.415E-18	Collagen, type VII, alpha 1
SLC32A1	4.538	2.182	4.951E-18	
INPP5A	4.537	2.182	2.138E-13	Inositol polyphosphate-5-phosphatase A
TNFRSF12A	4.535	2.181	4.077E-20	
B930076A02	4.535	2.181	6.926E-10	
LOC100046741	4.532	2.18	3.910E-09	
AQP4	4.501	2.17	1.013E-08	Aquaporin 4
TMEM62	4.501	2.17	2.581E-13	Transmembrane protein 62
ZIC2	4.458	2.156	5.120E-18	Zic finger protein of the cerebellum 2
METRN	4.457	2.156	1.513E-13	
PTPRR	4.448	2.153	5.149E-11	Protein tyrosine phosphatase, receptor type, R
