Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
C1QL2	40.987	5.357	1.462E-22	Complement component 1, q subcomponent-like 2
FIBCD1	35.106	5.134	1.447E-17	Fibrinogen C domain containing 1
CPNE6	9.893	3.306	2.938E-17	
PKP2	9.678	3.275	1.814E-21	Plakophilin 2
CACNA1H	8.683	3.118	4.635E-20	Calcium channel, voltage-dependent, T type, alpha 1H subunit
HPCA	8.567	3.099	3.610E-17	Hippocalcin
ST6GALNAC5	8.513	3.09	6.403E-14	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltran
PCDH20	8.226	3.04	5.628E-17	Protocadherin 20
CRYM	8.222	3.039	2.775E-15	
IQGAP2	7.115	2.831	2.256E-14	IQ motif containing GTPase activating protein 2
TNFRSF25	7.011	2.81	4.425E-10	Tumor necrosis factor receptor superfamily, member 25
6030405A18RIK	6.484	2.697	2.961E-18	
SLC26A4	6.024	2.591	2.465E-12	Solute carrier family 26, member 4
CAMK2A	5.897	2.56	7.842E-11	Calcium/calmodulin-dependent protein kinase II alpha
ICAM5	5.746	2.522	1.814E-21	Intercellular adhesion molecule 5, telencephalin
BCL11B	5.509	2.462	1.673E-13	B-cell leukemia/lymphoma 11B
SERPINA3N	5.492	2.457	1.708E-11	
PLEKHG5	5.142	2.362	8.337E-11	Pleckstrin homology domain containing, family G (with RhoGef domain) member 5
GRIA1	5.091	2.348	9.618E-10	Transcribed locus
RASL10A	5.044	2.335	2.563E-17	RAS-like, family 10, member A
MAS1	5.035	2.332	2.545E-15	MAS1 oncogene
ISLR2	4.992	2.32	1.159E-08	Immunoglobulin superfamily containing leucine-rich repeat 2
OLFML2B	4.841	2.275	9.408E-18	Olfactomedin-like 2B
ENC1	4.835	2.273	8.110E-18	Ectodermal-neural cortex 1
CAMKV	4.759	2.251	1.104E-11	
TRPC4	4.271	2.095	2.117E-14	Transient receptor potential cation channel, subfamily C, member 4
EPHA7	4.252	2.088	3.249E-10	Eph receptor A7
CRTAC1	4.191	2.067	3.137E-16	Cartilage acidic protein 1
PPM1E	4.095	2.034	1.342E-12	Protein phosphatase 1E (PP2C domain containing)
DOC2B	4.051	2.018	2.163E-10	Transcribed locus
