,astro1,astro2,astro3,reactive1,reactive2,reactive3
Spp1,2.8893724123423,2.68233066334506,3.16534059962949,11.3411717159404,10.8289080666997,10.5969831286903
Lyz1,5.37959942331141,6.74798190188513,6.55983468224697,12.4777080367662,12.1458430876509,13.34593170764
Lyz1|Lyz2,3.65676818951086,4.45642747287669,5.27602396499811,10.1479857820128,10.0556621929471,11.2347182514284
Ifitm3,6.01816002839162,4.09242095400211,3.05327815788266,9.45350114999126,9.40779532862523,10.8749355916501
Cyba,6.15893803255348,4.59588352569462,4.66081850814463,10.0106747754621,10.1083924861589,11.835888911278
Lgals3,3.94733491994145,3.58049894197784,4.38547731728794,9.25550270682755,7.76993423768097,10.8114606512823
Xist,4.87859221184637,11.5436730171618,7.99211498256147,9.40987374557538,7.67201873800873,4.05483483128521
Timp3,9.92474820620686,8.6043191504634,8.25232991357897,4.24593508823674,3.90696926966634,3.81478658434741
Dmp1,9.06720837369707,9.26555460246177,5.78134726176265,4.22242646104522,3.84184165107219,2.82845256168023
Tgfbi,3.81339987720222,2.06170714282901,4.5684056075573,4.27419225195386,6.5133436407645,9.75537720650609
Skiv2l2,6.60858952945391,8.73852931470535,7.02264517167768,2.99536591617932,2.61389078388031,2.73011019009706
Cyr61,7.16081628312059,7.73339885213345,8.44797195601453,2.64043216187224,3.4386527110019,3.14708161926116
Ugt1a10|Ugt1a9|Ugt1a5|Ugt1a6a|Ugt1a6b|Ugt1a1|Ugt1a7c|Ugt1a2,6.39004918873405,4.41567736009159,2.8000649653811,9.22174996258467,2.8188488810845,7.07341729078785
Nrxn1,11.528057582221,11.7089488655373,11.2251012265059,5.90613801137466,8.4899122894841,6.89337212261863
Ifi27l2a,3.51309823928985,3.60764799759791,4.89564953294085,9.36002096166396,8.5338650578556,7.33557088805059
Itih3,10.3908248335022,10.3540586594755,10.8632287370374,8.29950927082162,5.81924369979926,5.03824600875911
Rrm2,3.49034839982482,2.31724858485733,2.05061093752586,6.91460019917769,5.31496533036629,8.06504638915711
Clec4d,3.38270058725562,3.11640105254701,3.40661534884172,5.44456051170479,7.35140277612475,9.0897044456186
Tnik,7.84472740438132,9.16459972357569,7.52285159851678,3.19936913752586,3.50023452183714,5.24207893603825
Timp1,3.09495419596448,3.32613735246317,3.02099836495749,5.16558721213185,6.67957615779016,9.10488681164205
Cd68,4.41391796519111,3.13131014628944,2.89153669851451,6.85371872239899,7.46912772803678,8.73872342376232
Rabep2,8.0304220701447,9.49623093919776,7.26231281549828,3.24652011531499,8.2952190000521,10.1323528303659
Malat1,8.63222900509456,9.13369169250989,8.69472519030498,3.74086198253222,4.3407058576432,5.45090519880216
Mycbp2,6.33122879499278,8.23265145291632,5.72974652911117,2.50539563143015,2.48128511825944,2.80997593399443
Ms4a6d,3.40655831757165,3.28753941974256,3.0279212387985,6.78662794354416,4.57343567724465,9.01889236196855
D3Ertd254e,7.0682551957183,7.489341017254,5.33199385375102,2.89201674064016,1.97467970533959,2.63075911773967
Zscan21,7.13974022330122,6.46990987643484,2.77543811435909,8.85024992809065,3.14159256062047,4.78707386699553
Gp49a|Lilrb4,3.23233249342327,2.26572818379321,3.82935490860961,7.01958420887172,6.8609213307571,7.98495834941167
Hnrnpa2b1,7.15455216965606,8.26677020630619,8.03142357812987,3.92558334740061,3.53934643733021,3.31042675290943
Vim,3.26998516188599,3.12947060878082,3.56883500189857,6.8695180802345,6.4662396458136,8.75524446004676
Rfx4,7.80009574020997,8.15598144115539,9.44194715614814,4.05483483128521,3.63590048544766,5.95258947157013
Emp3,2.97525136552138,3.40497241736867,3.0862225408356,6.72455169828662,6.66667426901538,8.41421502982615
H2-D1|H2-L,4.37697914350088,6.2218445746088,5.78379755519055,8.65364873355161,9.6781323956382,10.1039430201501
C1qb,5.47111836660197,3.88444640851726,5.37816911621908,9.05968377120364,9.22420829517557,8.81450120556769
Slc15a2,10.9937227410856,9.53977269556272,4.34885625155615,9.41480909545816,9.95730624777261,9.40626713348317
Rbm5,6.99720494995544,7.62167013474895,7.32733504805371,3.04212253470365,5.57771778640388,2.22919844666403
Cd14,5.09576724410851,4.21447012155034,5.53700599160979,9.05931411990613,9.403026637498,8.79495621942731
Slco1c1,10.546270876064,10.448201434722,10.3833660930535,4.95310643238631,6.99969154211153,8.47141510458588
C1qc,6.34780263372517,5.03265400588152,6.18333681993362,9.09026864200371,10.1521683849289,10.3643391671055
C1qa,8.52914897678081,7.74000317903234,7.84714382766184,11.8452161986061,12.1520559832129,12.4944439916786
Ppara,6.69931282058183,7.89079218329881,6.91823351424438,3.13940403596543,3.83943859982695,2.49350627944271
Ppp2r5e,8.55351178333399,8.10588263369986,8.14387985435591,3.95244478933491,8.54846065289349,3.95458505444801
Id4,9.74787171956689,9.84255934266985,10.1905078091023,8.0637365435106,7.55748582672375,4.1682824107943
Cdca8,4.28880852667008,4.04838731925724,2.87194287229292,3.31276887530542,4.17870452361404,9.04796339758019
Crh,5.00473083898215,2.56068609201731,6.68370668896688,8.90112475254094,7.57552778485506,7.16679057506006
Zwint,3.46781508899979,2.30732025099963,5.67374743573688,7.60579451645086,2.59845536110867,6.64877097779824
Ogt,7.39437733882676,7.91532077580829,7.51893843175517,3.01091254700188,6.96484393659188,3.37716674674918
Rps7,7.49601633397426,6.08031208160394,6.50295105027336,10.9372725947589,11.148034891977,9.42595755296162
Dlgap2,6.73673139568487,7.4948967742224,6.90535919207427,7.54131339351426,2.86824934737905,3.15943860792917
2900097C17Rik,5.83809746866192,7.42783117064955,3.54918479970701,2.87360847161825,6.62848576619784,2.18600468673659
Armc8,7.30472719021907,7.18803667345085,7.20362407027865,4.11521670113724,8.90086415119416,3.28232812404164
Pspc1,5.69359063158812,5.50782086531941,7.11282319801931,2.77811857899145,1.96384623782512,6.88211622916825
Btaf1,5.42629845089026,6.64303978923132,6.47157622652911,2.79480707303722,2.97802294271239,8.14232839901577
Cd5l,3.35371902393799,3.74038988000192,3.9191145799861,5.69834317982259,5.72547291633525,9.0674886316406
Pycard,6.07618167484696,6.24958397328959,6.54593030196475,10.5238603060105,9.40636123665308,10.3543983271349
Rnf220,3.43430553343206,3.30294403694531,3.43430553343206,7.84558954234867,7.50398615503515,4.50948813995217
Prdm16,8.2475575231643,9.02902823193872,8.79249947848989,5.03169031052017,7.09475283150909,3.90631685583297
Cdc37l1,8.61422569640995,8.83574121810021,7.64988530962913,3.6241986889357,7.85179450430554,5.07320100408564
Itih5,6.71211033502843,7.62386209606614,6.43002225550341,3.37822416633508,2.88015775268503,7.58244758376191
Slc1a2,10.5239012415058,10.1145906898561,10.2904450491827,6.94172967202727,6.90358169799903,5.846246407616
Cela1,6.76564560285583,6.31004221736809,3.19764872607412,7.7074003176611,8.60183856589502,8.952663796972
Cdt1,6.63681435013468,5.4147986395756,3.50934511789787,5.61318473637149,6.09513095155251,9.86330752981845
2610507B11Rik,9.37770100983773,8.61814066384955,8.81515268948671,5.05150357439874,6.53284014187457,4.4882842138623
Atp2b2,9.43259596480686,9.02224355196912,9.22582789603431,6.08494953024042,8.39983739234101,4.31302290099719
