Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
AXL	5.055	2.338	6.418E-15	
CD74	4.306	2.106	1.133E-11	
CLEC7A	3.352	1.745	1.554E-11	C-type lectin domain family 7, member a
CD274	2.932	1.552	2.517E-11	CD274 antigen
CCL4	1.838	0.878	4.968E-11	
AI451557	3.353	1.745	4.968E-11	
CXCL13	9.354	3.226	5.115E-11	Chemokine (C-X-C motif) ligand 13
RAI14	3.372	1.754	6.768E-11	Retinoic acid induced 14
LOC100048556	3.096	1.63	8.641E-11	
BHLHB2	6.247	2.643	1.125E-10	
H2-AA	4.062	2.022	1.125E-10	
IL1R1	2.563	1.358	1.708E-10	Transcribed locus
FGL2	3.201	1.679	2.211E-10	Fibrinogen-like protein 2
APOE	5.729	2.518	2.487E-10	Transcribed locus, moderately similar to XP_001104482.1 apolipoprotein E [Macaca mulatta]
NAALAD2	2.334	1.223	2.604E-10	N-acetylated alpha-linked acidic dipeptidase 2
LY9	2.574	1.364	2.616E-10	Lymphocyte antigen 9
AADACL1	2.041	1.029	2.684E-10	
CD36	4.398	2.137	2.822E-10	Transcribed locus
LPL	3.002	1.586	2.921E-10	Lipoprotein lipase
GNPTAB	1.667	0.738	6.174E-10	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
IFITM3	3.763	1.912	1.461E-09	
CCL3	5.527	2.467	1.699E-09	
LOC547343	1.936	0.953	2.125E-09	
IFI27	3.73	1.899	3.690E-09	
LILRB4	3.172	1.665	8.645E-09	
PCDHB22	2.48	1.311	8.775E-09	Protocadherin beta 22
CXCL16	2.342	1.228	9.985E-09	Chemokine (C-X-C motif) ligand 16
DAAM1	2.147	1.102	9.985E-09	Transcribed locus
UBE2E2	2.644	1.403	2.594E-08	Transcribed locus
CXCR4	3.71	1.892	3.223E-08	Chemokine (C-X-C motif) receptor 4
CSPRS	1.574	0.655	3.223E-08	Similar to putative G-protein coupled receptor
TLR2	1.756	0.812	3.223E-08	Toll-like receptor 2
TMEM204	0.61	-0.712	5.088E-08	
